date,Wheat,Oats,Barley,Flax,Canola
01/12/1985,3.618005661,1.365164554,1.925756586,7.077829709,6.207475279
01/01/1986,3.772860875,1.358224608,1.839756151,6.98333672,7.461626388
01/02/1986,3.729860658,1.368094753,1.844328326,6.628479984,7.062921838
01/03/1986,3.632429784,1.294377101,1.813847159,6.374212558,6.93936425
01/04/1986,3.633246244,1.307485889,1.713912476,6.02367405,6.550729371
01/05/1986,3.596233399,1.455538077,1.801436969,5.719874009,6.55236229
01/06/1986,3.624265186,1.402640264,1.922926192,5.463574477,6.251360766
01/07/1986,3.581809275,1.442120848,1.907685609,5.17272912,5.840409319
01/08/1986,2.550892663,1.104222572,1.738079686,4.920493802,5.029664707
01/09/1986,2.743032876,0.954628173,1.446984542,4.82727088,4.958904855
01/10/1986,3.151262791,0.945374911,1.465708687,4.790946962,5.36876769
01/11/1986,3.090844764,0.983004843,1.430873068,4.88086771,5.613705639
01/12/1986,2.830121925,0.974060023,1.433485739,4.463523674,5.421565426
01/01/1987,2.825767472,0.975448012,1.468756804,4.174202398,5.395983018
01/02/1987,2.805355976,1.019092563,1.410624864,3.795976428,5.026671021
01/03/1987,2.80644459,0.978686654,1.40779447,3.57803292,4.816024385
01/04/1987,2.856248639,0.972517813,1.412148922,3.906218248,4.9376769
01/05/1987,2.823862399,0.976527559,1.436316133,4.122383662,5.559274984
01/06/1987,2.855160026,0.91514759,1.407576747,4.107650884,5.955802308
01/07/1987,2.868223383,0.832176676,1.264532985,3.877006706,5.974853037
01/08/1987,3.18936425,0.841275716,1.174178097,3.610292623,5.615066405
01/09/1987,3.137927281,0.845285463,1.088177662,3.888183296,5.46347703
01/10/1987,3.066895275,0.975602233,1.069018071,4.103332656,5.785434357
01/11/1987,3.144186806,1.08448228,1.086871326,4.307051412,6.061125626
01/12/1987,3.17521228,1.137225872,1.107772698,4.487146921,6.464728935
01/01/1988,3.191813629,1.280342988,1.13542347,4.87045316,7.128238624
01/02/1988,3.192902243,1.242558835,1.13455258,4.677148953,7.224036577
01/03/1988,3.173307207,1.158816816,1.115828435,4.434820159,7.115175267
01/04/1988,3.225560636,1.157274606,1.164816024,4.68883357,7.403113433
01/05/1988,3.232364468,1.148638228,1.40866536,5.0871266,7.954768125
01/06/1988,3.232908774,1.782795102,1.77988243,6.363798009,9.520465926
01/07/1988,3.231003701,1.973412295,1.957761811,8.496240602,9.656542565
01/08/1988,4.66525147,2.064402702,2.089919443,8.907488315,9.122577836
01/09/1988,4.699814936,2.098639771,2.188112345,10.33250356,9.050185064
01/10/1988,4.689473111,2.017056846,2.234269541,9.74166836,8.392118441
01/11/1988,4.708251687,2.215230869,2.415850207,9.033224954,8.208414979
01/12/1988,4.709884607,2.166805466,2.504681036,8.862019915,8.256041803
01/01/1989,4.712333987,2.238518244,2.640104507,9.661400122,8.064718049
01/02/1989,4.720498585,2.266432251,2.662529937,9.44091648,7.708741563
01/03/1989,4.731929022,2.324573579,2.593947311,9.492481203,8.198617461
01/04/1989,4.740637927,2.08506832,2.510124102,8.855669579,8.078597866
01/05/1989,4.752068365,2.02816076,2.42194644,8.228510465,8.103908121
01/06/1989,4.769758328,1.658955615,2.334421946,7.522861207,7.204169388
01/07/1989,4.768125408,1.547145369,2.023078598,7.600843325,6.830502939
01/08/1989,4.395547572,1.374109374,1.937949053,7.704226783,6.574134553
01/09/1989,4.074951012,1.303321921,1.801219247,8.42689494,6.752122796
01/10/1989,4.109242325,1.264920885,1.846070107,8.257976021,6.694154148
01/11/1989,4.120672763,1.433792912,1.958197257,8.12538102,7.061016765
01/12/1989,4.14952101,1.372258721,2.001088613,8.009296891,7.180764206
01/01/1990,4.171021119,1.352209987,2.059873721,8.224954278,7.212878293
01/02/1990,4.152242543,1.329385275,2.046592641,9.230593375,7.284182452
01/03/1990,4.159318528,1.322445329,2.036141955,9.624568177,7.485575876
01/04/1990,4.184628783,1.358995713,2.009579795,9.497053444,7.743305029
01/05/1990,4.197147834,1.446284815,2.030481167,10.07925218,7.889179186
01/06/1990,4.21510995,1.332778138,2.028303941,9.941322902,7.481493577
01/07/1990,4.226812541,1.079084544,1.880252558,8.578286934,7.317929458
01/08/1990,3.145547572,0.902809907,1.797300239,6.282513717,7.183485739
01/09/1990,3.151534944,0.822769193,1.55236229,5.423694371,6.883572828
01/10/1990,3.131395602,0.979303538,1.519703897,5.630461288,6.763553233
01/11/1990,3.085401698,1.144936924,1.581972567,5.510058931,6.822066188
01/12/1990,3.15534509,1.013694827,1.598737209,5.292115424,6.625027215
01/01/1991,3.134933595,1.030813362,1.701502286,5.109987807,6.593457435
01/02/1991,3.152351404,0.983313285,1.679294579,4.842257671,6.692249075
01/03/1991,3.157250163,1.037136424,1.70019595,4.750812843,6.926573046
01/04/1991,3.153440017,1.071990377,1.687568038,4.313147734,7.249618985
01/05/1991,3.158066623,1.026803615,1.695841498,4.240499898,7.108099282
01/06/1991,3.159971696,1.018013016,1.707163074,3.968705548,6.814990202
01/07/1991,3.158883083,1.028345825,1.567385151,3.646362528,6.465001089
01/08/1991,3.081591552,1.023564973,1.40365774,3.480999797,6.350968866
01/09/1991,3.067439582,0.996576293,1.35793599,3.407589921,6.146853908
01/10/1991,3.064718049,1.067672188,1.375353799,3.388030888,6.019486175
01/11/1991,3.066350969,1.150797323,1.394295667,3.303444422,5.857282822
01/12/1991,3.068528195,1.206471114,1.44763771,3.409368015,5.976485957
01/01/1992,3.101186588,1.278954998,1.458306118,3.817313554,6.063302852
01/02/1992,3.098192902,1.497177755,1.513825386,3.943812233,6.287829305
01/03/1992,3.099553669,1.547762253,1.50163292,3.963371266,6.645166558
01/04/1992,3.102547355,1.445822152,1.511430438,3.904440154,6.60134988
01/05/1992,3.100914435,1.463094908,1.554757239,3.859225767,6.644894405
01/06/1992,3.105541041,1.482526757,1.590028304,3.968705548,6.917319835
01/07/1992,3.104452428,1.328305728,1.533420422,3.977596017,6.71429349
01/08/1992,3.690126279,1.295610869,1.497713912,4.219162772,6.597539734
01/09/1992,3.314010451,1.450757225,1.434138907,5.027941475,6.849009362
01/10/1992,3.136566514,1.472965054,1.481166993,5.219213574,6.106575223
01/11/1992,3.225016329,1.512599858,1.482908774,5.661450925,6.495754409
01/12/1992,3.224472023,1.485148515,1.579577618,5.614458443,7.022098846
01/01/1993,3.250598737,1.498719965,1.629436098,5.7973481,7.112181581
01/02/1993,3.228010015,1.473736159,1.631613325,5.548160943,7.252884825
01/03/1993,3.158066623,1.456926066,1.646418463,5.202702703,7.482037884
01/04/1993,3.298497714,1.4439715,1.615501851,5.331233489,7.204169388
01/05/1993,3.184193338,1.400943833,1.635096887,5.230390165,6.938003484
01/06/1993,3.193718702,1.355294408,1.605051165,5.143263564,7.109460048
01/07/1993,3.235358154,1.580919774,1.526671021,5.079760211,7.335619421
01/08/1993,3.308839538,1.396317202,1.453951666,5.226071937,7.072719356
01/09/1993,3.574461137,1.432250702,1.222730242,4.967740297,7.048225561
01/10/1993,3.508600044,1.460010487,1.137818419,5.086618573,6.878946223
01/11/1993,3.520030481,1.489620925,1.314609188,5.163584637,7.05067494
01/12/1993,3.448454169,1.441503963,1.428260396,5.549685023,7.794469845
01/01/1994,3.405998258,1.391844792,1.566949706,5.715555781,8.499346832
01/02/1994,3.410352711,1.388760371,1.589810581,5.773216826,8.669170477
01/03/1994,3.405453952,1.404182474,1.521881123,5.802174355,9.054267363
01/04/1994,3.376877858,1.366552543,1.458523841,5.847642756,10.02013934
01/05/1994,3.442466797,1.293760217,1.410842587,5.610394229,10.37720444
01/06/1994,3.347485304,1.300854385,1.420857827,5.873552124,10.45939473
01/07/1994,3.290605269,1.206008451,1.317439582,5.789219671,9.241236664
01/08/1994,3.368713259,1.261836464,1.444154148,5.944421865,8.492270847
01/09/1994,4.573263662,1.430862712,1.584802961,6.27159114,8.562214239
01/10/1994,4.599390377,1.407112674,1.743087307,6.540845357,8.577182669
01/11/1994,4.574080122,1.453378983,1.850860004,6.539829303,9.115774004
01/12/1994,4.605649902,1.426698745,1.925538863,6.528652713,9.734106249
01/01/1995,4.596396691,1.396779865,1.980404964,6.970382036,9.990474635
01/02/1995,4.608643588,1.367477869,2.016111474,7.303139606,10.61424995
01/03/1995,4.627150011,1.361463249,2.097539734,7.278246291,10.94464402
01/04/1995,4.630960157,1.407729558,2.120618332,7.217791099,10.50484433
01/05/1995,4.618713259,1.474507264,2.178314827,6.619589514,9.928967995
01/06/1995,4.615175267,1.513679405,2.401045069,6.790032514,9.868549967
01/07/1995,4.589865012,1.606520465,2.470498585,6.934058118,9.98503157
01/08/1995,5.678478119,1.757502853,2.267145656,6.706716115,9.319616808
01/09/1995,5.849118223,1.654328984,2.252775963,6.913229018,9.230350533
01/10/1995,5.817004137,1.745165171,2.449814936,6.854297907,9.498421511
01/11/1995,5.814554757,1.881650782,2.728935336,7.066653119,9.475832789
01/12/1995,5.835238406,2.403072083,2.875680383,7.270879902,9.757239277
01/01/1996,5.83387764,2.414330218,2.907250163,7.4128734,9.848410625
01/02/1996,5.852928369,2.445328645,2.944263009,7.277484251,9.794252123
01/03/1996,5.86544742,2.724468709,2.912040061,7.3503861,9.880524712
01/04/1996,5.836054866,3.014404244,3.143914653,7.527433448,10.28358371
01/05/1996,5.826257348,3.055118596,3.313738297,8.416734404,10.78080775
01/06/1996,5.84802961,2.657845224,3.467885913,8.105567974,10.96532767
01/07/1996,5.830883954,2.51642454,3.267145656,8.779211542,11.04642935
01/08/1996,4.496244285,2.181919126,2.709775746,8.41495631,10.5358698
01/09/1996,4.520193773,2.04157799,2.448073155,9.045925625,10.85320052
01/10/1996,4.355541041,2.09108294,2.338340954,8.247307458,9.92025909
01/11/1996,4.307642064,1.8693131,2.03570651,8.248577525,9.780644459
01/12/1996,4.371870237,1.790968817,2.155453952,8.264326356,9.773568474
01/01/1997,4.382484215,1.771845409,2.275854561,8.252641739,9.755606358
01/02/1997,4.40697801,1.878874803,2.22839103,8.28617151,10.77835837
01/03/1997,4.393642499,1.922056692,2.254517744,8.526976224,11.10249292
01/04/1997,4.398269105,1.933469048,2.277596342,8.314366999,10.82026998
01/05/1997,4.378946223,1.795132784,2.163074243,7.764427962,11.03690398
01/06/1997,4.3895602,1.826593874,2.042238189,6.188782768,10.46592641
01/07/1997,4.371598084,1.740692761,1.971042891,7.421001829,10.11974744
01/08/1997,4.474744176,1.838777336,2.083605487,7.181721195,9.430383192
01/09/1997,4.271717831,1.847722155,2.099281515,7.753505385,9.258926627
01/10/1997,4.073045939,1.790968817,2.397343784,7.813706564,9.429838885
01/11/1997,4.079305465,1.773079177,2.499455693,7.955192034,8.528739386
01/12/1997,4.155236229,1.799605194,2.408447638,8.044350742,10.11893098
01/01/1998,4.138362726,1.924370007,2.667973002,8.468807153,10.17989332
01/02/1998,4.145166558,1.755343759,2.322011757,9.353281853,10.38672981
01/03/1998,4.165850207,1.711544986,2.195950359,9.400528348,10.60989549
01/04/1998,4.174286958,1.521544678,2.248421511,9.579099776,10.83006749
01/05/1998,4.184900936,1.551772,2.310907903,10.15164601,10.96913782
01/06/1998,4.172654039,1.496252429,2.209884607,10.10744767,10.89728935
01/07/1998,4.173470499,1.439653311,2.005878511,8.204633205,11.10657522
01/08/1998,4.13291966,1.527405077,1.809057261,7.464946149,9.335946005
01/09/1998,4.189527542,1.636439345,1.903766601,7.617862223,9.360167646
01/10/1998,4.224363161,1.691496252,2.00413673,7.804054054,9.977955585
01/11/1998,4.137274113,1.561796367,1.966688439,7.974751067,9.870182887
01/12/1998,4.157685609,1.422380556,2.024820379,7.864255233,10.02367734
01/01/1999,4.124482909,1.390302582,1.985194862,7.824121114,9.925157849
01/02/1999,4.208850425,1.303630363,1.90942739,7.049126194,9.427117352
01/03/1999,4.265458306,1.3721045,1.847811888,7.159114001,8.999020248
01/04/1999,4.145438711,1.392307455,1.905072937,6.827880512,8.939962987
01/05/1999,4.215382103,1.414977946,1.963858045,6.448130461,8.640050076
01/06/1999,4.18109079,1.371024953,1.935554104,6.315789474,8.460428914
01/07/1999,4.014805138,1.28065143,1.800783801,5.684312132,7.827944698
01/08/1999,3.697474418,1.297615743,1.768996299,5.573308271,7.296973656
01/09/1999,3.508055737,1.272631936,1.666013499,5.42064621,7.16116917
01/10/1999,3.463150446,1.258597822,1.777705204,5.278144686,6.88874374
01/11/1999,3.420150229,1.263070232,1.716307424,5.173237147,6.656596995
01/12/1999,3.436751578,1.358841492,1.674286958,4.679943101,6.50582408
01/01/2000,3.452536469,1.245643256,1.704550403,4.793233083,6.521064664
01/02/2000,3.440561724,1.269239073,1.665142608,4.831589108,6.32810799
01/03/2000,3.684955367,1.430862712,1.692357936,5.051310709,6.525419116
01/04/2000,3.549150882,1.313808951,1.703026344,5.185429791,6.646799477
01/05/2000,3.50832789,1.382128867,1.679512301,5.304562081,6.654964076
01/06/2000,3.526017853,1.342648284,1.678205966,5.089412721,6.377367734
01/07/2000,3.489549314,1.261528022,1.66448944,4.728967689,6.113106902
01/08/2000,3.574461137,1.289596249,1.639015894,4.665972363,6.008600044
01/09/2000,3.872741128,1.327380402,1.589375136,5.041912213,6.210265622
01/10/2000,3.859405617,1.376731131,1.741998694,5.350284495,6.172436316
01/11/2000,3.885804485,1.35406064,1.922273024,5.657894737,6.276126715
01/12/2000,3.92526671,1.404799358,1.981493577,5.724446251,6.457380797
